Unnamed: 0,title,allsides_summary_text,external_link,bias
0,Alex Ovechkin breaks Wayne Gretzky’s NHL all-time career goals record,"It’s been a long time coming, but Alex Ovechkin can finally call himself the NHL’s all-time leading scorer with number 895 on Sunday.
The 39-year-old overtook Wayne Gretzky’s mark of 894 goals after scoring in the second period in the Washington Capitals 4-1 loss to the New York Islanders in Elmont, New York.
Ovechkin rocketed a wrist shot past goalie and fellow Russian Ilya Sorokin as the left winger’s family and Gretzky looked on at UBS Arena.
It was a power play goal, which was fitting – no one in NHL history...",https://edition.cnn.com/2025/04/06/sport/alex-ovechkin-surpasses-wayne-gretzky-goals-record-nhl-spt/index.html,Lean Left
1,ICC sent Hungary a request to arrest and surrender Netanyahu hours after his arrival,"The International Criminal Court (ICC) sent a request to the Hungarian government to arrest and surrender Prime Minister Benjamin Netanyahu to its detention center in The Hague, due to the arrest warrant issued against him by the court last year, it emerged on Sunday.
According to a report by Channel 12 news, the surrender request was sent several hours after Netanyahu landed in the country on Thursday, but the Hungarian government refused to comply, and promptly announced it was quitting the ICC.",https://www.timesofisrael.com/icc-sent-hungary-a-request-to-arrest-and-surrender-netanyahu-after-his-arrival/,Center
2,US defends tariffs on remote island of penguins and seals,"The US Commerce Secretary has defended the country's decision to impose tariffs on a group of uninhabited islands, which are populated only by penguins and seals.
The imposition of tariffs on the Heard and McDonald islands were meant to close ""ridiculous loopholes"" and would prevent other countries from shipping through the islands to reach the US, Howard Lutnick told the BBC's US partner CBS.
Authorities in Australia reacted with surprise last week when they found out about the tariffs on the island, which sits 4,000km (2,485 mi) from Australia.
Its...",https://www.bbc.com/news/articles/ce84jr5mvnno,Center
3,"12,000 Brits arrested per year over social media posts – Times","Thousands of people in the UK have been detained and questioned by police over online posts deemed threatening or offensive, The Times has reported, citing custody data.
According to figures published on Friday, officers make around 12,000 arrests annually under Section 127 of the Communications Act 2003 and Section 1 of the Malicious Communications Act 1988. These laws criminalize causing distress by sending messages that are “grossly offensive,” or by sharing content of an “indecent, obscene or menacing character” via electronic communications networks.",https://www.rt.com/news/615320-12000-brits-arrested-social-media-posts/,Lean Right
4,FEMA: Democrats question Homeland Security secretary,"Four Democrats from North Carolina want answers from the Homeland Security secretary about President Donald Trump’s consideration to eliminate FEMA.
U.S. Reps. Deborah Ross, Alma Adams, Valerie Foushee and Don Davis asked Secretary Kristi Noem how her agency will fulfill core functions of the Federal Emergency Management Agency. They also ask if consultation has been made with emergency management, first responders or state and local officials.",https://www.thecentersquare.com/north_carolina/article_98345ee7-3d03-42f2-b647-f06b4b43b0ec.html,Lean Right
5,"GOP Rep: Adversaries are ""laughing at us"" over NSA firings","Rep. Don Bacon (R-Neb.) slammed the decision to fire Gen. Timothy Haugh, the National Security Agency director and head of U.S. Cyber Command, without any explanation as ""heartbreaking"" Sunday.
The big picture: Haugh, along with his civilian deputy Wendy Noble, was fired Thursday, the same day that several members of President Trump's embattled National Security Council were ousted.
Their firings followed conspiracy theorist Laura Loomer's Oval Office visit, where she pressed Trump to fire specific NSC staffers, Axios previously reported.",https://www.axios.com/2025/04/06/nsc-nsa-firings-loomer,Lean Left
6,Meet The Government Consultants Raking In Millions To Spread Climate Doom,"More than three decades ago, Congress launched an initiative called the U.S. Global Change Research Program. Today, it spends billions of dollars a year empowering liberal climate scientists to spread climate change doom. 
The government group says its role is to provide the “scientific foundation to support informed decision-making across the United States” on climate change. It’s done so by producing five National Climate Assessment reports, which are considered the “crown jewel” of climate research.",https://www.dailywire.com/news/meet-the-government-contractor-raking-in-millions-to-spread-climate-doom,Right
7,Fans left baffled as FBI boss Kash Patel sits with Wayne Gretzky as Alexander Ovechkin breaks NHL scoring mark,"Already facing criticism over his ties to President Donald Trump, Wayne Gretzky was once again seen alongside FBI director Kash Patel as Washington Capitals star Alex Ovechkin scored another historic goal on Sunday on Long Island.
This time it was Ovechkin's 895 career score, which broke Gretzky's all-time mark on Sunday afternoon against the New York Islanders at UBS Arena.
And as was the case when the Russian icon tied Gretzky at 894 on Thursday in Washington, Gretzky was taking in the action with his wife, Janet, and one of Trump's key insiders in Patel. Later, Patel and Gretzky...",https://www.dailymail.co.uk/sport/nhl/article-14577425/FBI-Kash-Patel-Wayne-Gretzky-Alexander-Ovechkin.html,Right
8,Why Action Trumps Apologies!,"Well, would you look at that? The U.S. government is finally acting like... a government.
Gone are the days when mid-level bureaucrats could sip soy lattes, shuffle papers, ignore actual law, and still walk away with a pension fat enough to rival a small country’s GDP. The message is clear under President Trump’s America First administration: Do your job—or don’t expect to keep it.
In recent actions, we’ve seen what real leadership looks like when the White House decides enough is enough. First, the Trump administration dropped the hammer on...",https://townhall.com/columnists/kevinmccullough/2025/04/06/why-action-trumps-apologies-n2655067,Right
9,Judicial blocks on Trump spark battle over nationwide injunctions,"The Trump administration’s repeated losses in courts have sparked Republican efforts to limit the reach of the judiciary, something Democrats argue is designed to hamstring reviews of lawless orders.
Congressional Republicans have rolled out two legislative vehicles that would curb nationwide injunctions, arguing this will restore order to the judiciary and put district court judges in their place.
“These rogue judge rulings are a new resistance to the Trump administration and the only time in which judges in robes in this number have felt it necessary to participate in the...",https://thehill.com/regulation/court-battles/5232755-trump-administration-courts-restrict/,Center
10,Wall Street titans push back on Trump’s trade war,"Wall Street’s rule of thumb for President Donald Trump had been that he would curb his aggressive trade policies if markets tanked or the economy began to falter. No more.
With U.S. financial markets poised for another potential selloff and Trump remaining defiant about his sweeping tariffs, JPMorgan Chase CEO Jamie Dimon on Monday cautioned investors that the trade wars could threaten economic alliances that have made the U.S. the world’s most powerful country. Goldman Sachs Chief Economist Jan Hatzius bumped up the odds of a U.S. recession to 45...",https://www.politico.com/news/2025/04/07/wall-street-trump-trade-war-tariffs-dimon-00276178,Lean Left
11,"Defense Secretary Pete Hegseth Heads to Panama to Meet with Regional Leaders, U.S. Troops","Defense Secretary Pete Hegseth is heading to Panama City, Panama, on Monday, for a two-day visit to attend the 2025 Central American Security Conference and meet with American troops stationed there.
“The Secretary will meet with partner-nation senior civilian, military, and security leadership in a series of bilateral meetings that will drive ongoing efforts to strengthen our partnerships with Panama and other Central American nations toward our shared vision for a peaceful and secure Western Hemisphere,” Chief Pentagon Spokesman Sean Parnell said in a statement.
Hegseth’s visit to Panama takes place as President...",https://www.breitbart.com/politics/2025/04/07/defense-secretary-pete-hegseth-heads-to-panama-to-meet-with-regional-leaders-u-s-troops/,Right
12,Trump's tariff 'medicine' engulfs markets as U.S. stocks brace for more turmoil,"President Donald Trump's sweeping tariff plans hammered global financial markets and U.S. stocks braced for more turmoil on Monday, after he warned foreign governments they would have to pay ""a lot of money"" to lift the levies he called ""medicine"".
Asian equity markets sank, European shares crashed to a 16-month-low and oil prices plummeted as investors feared the duties Trump announced last week could lead to higher prices, weaker demand and potentially a global recession.",https://www.reuters.com/world/trumps-tariff-medicine-injects-turmoil-into-global-markets-2025-04-07/,Center
13,Alarm as Republicans in Congress back Trump and Musk’s attacks on US judges,"As Donald Trump and Elon Musk widen their radical attacks on US judges who have stalled some of Trump’s executive orders and Musk’s slashing of federal agencies, they’re gaining backing from top House Republicans and other politicians, including some to whom the tech billionaire made big campaign donations.
House speaker Mike Johnson and judiciary panel chairman Jim Jordan have echoed some of Trump’s attacks on judges, and a judiciary subcommittee hearing on April 1 explored “judicial overreach” and ways to curb judges who have stymied some Trump orders or Musk’s “department of...",https://www.theguardian.com/us-news/2025/apr/07/republicans-trump-musk-attacks-us-judges,Left
14,Price tag: How much Americans could pay between tariffs and tax cuts expiring,"With new wide-ranging and aggressive tariffs from the Trump administration and the possibility of the 2017 Tax Cuts and Jobs Act (TCJA) expiring at the end of the year, average Americans could face a hefty price tag. 
""If the tax cuts expire, the median family would lose about $1,000,"" nonresident senior fellow at the Peterson Institute for International Economics (PIIE) Kimberly Clausing told Fox News Digital, citing a model from the Urban-Brookings Tax Policy Center. 
And if the recently unveiled tariffs continue, ""that would generate an average per household consumer loss of $3,800,"" she...",https://www.foxbusiness.com/fox-news-politics/price-tag-how-much-americans-could-pay-between-tariffs-tax-cuts-expiring,Right
